epoch:0; SSE:4338.07; MSE: 0.271129
epoch:1; SSE:2873.33; MSE: 0.179583
epoch:2; SSE:2446.61; MSE: 0.152913
epoch:3; SSE:2152.52; MSE: 0.134532
epoch:4; SSE:1976.2; MSE: 0.123512
epoch:0; SSE:4338.07; MSE: 0.271129
epoch:1; SSE:2873.33; MSE: 0.179583
epoch:2; SSE:2446.61; MSE: 0.152913
epoch:3; SSE:2152.52; MSE: 0.134532
epoch:4; SSE:1976.2; MSE: 0.123512
epoch:0; SSE:4338.07; MSE: 0.271129
epoch:1; SSE:2873.33; MSE: 0.179583
epoch:2; SSE:2446.61; MSE: 0.152913
epoch:3; SSE:2152.52; MSE: 0.134532
epoch:4; SSE:1976.2; MSE: 0.123512
