2000,1,109,41,0
2000,2,194,110,0
2000,3,335,156,0
2000,4,592,247,4
2000,5,659,454,6
2000,6,757,508,7
2000,7,1968,1060,8
2000,8,2274,1185,9
2000,9,2683,2054,10
2000,10,3633,2574,12
2000,11,3475,2392,26
2000,12,3743,2668,50
2000,13,4859,3437,79
2000,14,4007,3473,106
2000,15,3873,3622,141
2000,16,4993,4211,165
2000,17,4193,3816,227
2000,18,5009,4298,251
2000,19,6022,5367,274
2000,20,5715,4911,341
2000,21,6498,4932,349
2000,22,5565,5311,402
2000,23,7467,5884,451
2000,24,6551,5945,519
2000,25,7509,6581,689
2000,26,10479,7609,896
2000,27,8467,7682,1123
2000,28,8641,8131,1283
2000,29,8999,8293,1655
2000,30,9475,8981,1817
2000,31,10072,9074,2320
2000,32,10863,9365,2696
2000,33,10145,9606,3126
2000,34,10525,9963,3653
2000,35,10472,9931,4014
2000,36,11852,10564,4260
2000,37,10266,10084,4590
2000,38,9902,9784,4839
2000,39,10773,10293,4691
2000,40,11697,10656,4809
2000,41,12615,10858,5036
2000,42,11475,10702,5190
2000,43,11530,11031,5368
2000,44,11901,10837,5209
2000,45,12292,11191,5439
2000,46,11096,10840,5598
2000,47,11900,11442,5675
2000,48,12383,11707,5772
2000,49,12858,11923,5883
2000,50,12600,11786,6027
2000,51,13053,11841,6158
2000,52,12174,11760,6201
2000,53,12446,11715,6298
2000,54,12270,11898,6138
2000,55,11922,11662,6226
2000,56,12199,11773,6296
2000,57,13141,12033,6357
2000,58,13134,12445,6349
2000,59,14094,12861,6504
2000,60,13474,12495,6640
2000,61,12436,12115,6557
2000,62,13528,12659,6548
2000,63,13096,12708,6640
2000,64,14479,12880,6676
2000,65,13127,12659,6771
2000,66,13573,13094,6901
2000,67,12821,12641,6872
2000,68,14130,13113,6869
2000,69,14418,12955,7085
2000,70,13858,13297,7044
2000,71,13448,12885,7076
2000,72,13852,13176,7028
2000,73,13604,13039,7231
2000,74,13304,13025,7431
2000,75,13336,13150,7305
2000,76,14255,13655,7366
2000,77,13879,13355,7397
2000,78,13169,13041,7540
2000,79,15004,14204,7719
2000,80,14728,13782,7535
2000,81,14746,14016,7683
2000,82,14687,13899,7682
2000,83,14175,13959,7839
2000,84,14518,14126,7835
2000,85,15535,14652,7832
2000,86,16705,14613,7869
2000,87,17071,15484,8142
2000,88,16361,14512,8094
2000,89,17292,15494,7929
2000,90,15838,15126,8148
2000,91,15902,15309,8041
2000,92,14516,14208,8416
2000,93,15176,14765,8390
2000,94,17894,16079,8328
2000,95,18544,16470,8433
2000,96,16260,15680,8507
2000,97,18146,16164,8345
2000,98,19880,17275,8560
2000,99,21309,17061,8555
2000,100,20719,17896,8485
