epoch:0; SSE:3669.61; MSE: 0.22935
epoch:1; SSE:2474.67; MSE: 0.154667
epoch:2; SSE:2011.41; MSE: 0.125713
epoch:3; SSE:1740.75; MSE: 0.108797
epoch:4; SSE:1546.02; MSE: 0.0966265
epoch:5; SSE:1421.49; MSE: 0.0888434
epoch:6; SSE:1246.73; MSE: 0.0779205
epoch:7; SSE:1219.42; MSE: 0.0762134
epoch:8; SSE:1116.06; MSE: 0.0697539
epoch:9; SSE:1127.17; MSE: 0.0704481
epoch:10; SSE:1076.88; MSE: 0.0673047
epoch:11; SSE:1013.61; MSE: 0.0633505
epoch:12; SSE:973.648; MSE: 0.060853
epoch:13; SSE:931.311; MSE: 0.058207
epoch:14; SSE:899.882; MSE: 0.0562426
epoch:15; SSE:854.299; MSE: 0.0533937
epoch:16; SSE:865.496; MSE: 0.0540935
epoch:17; SSE:838.567; MSE: 0.0524104
epoch:18; SSE:830.172; MSE: 0.0518857
epoch:19; SSE:847.693; MSE: 0.0529808
epoch:20; SSE:827.989; MSE: 0.0517493
epoch:21; SSE:727.486; MSE: 0.0454679
epoch:22; SSE:729.295; MSE: 0.0455809
epoch:23; SSE:750.57; MSE: 0.0469106
epoch:24; SSE:665.341; MSE: 0.0415838
epoch:25; SSE:737.611; MSE: 0.0461007
epoch:26; SSE:795.275; MSE: 0.0497047
epoch:27; SSE:670.193; MSE: 0.0418871
epoch:28; SSE:767.48; MSE: 0.0479675
epoch:29; SSE:706.93; MSE: 0.0441832
epoch:30; SSE:607.208; MSE: 0.0379505
epoch:31; SSE:626.225; MSE: 0.0391391
epoch:32; SSE:692.955; MSE: 0.0433097
epoch:33; SSE:695.836; MSE: 0.0434898
epoch:34; SSE:717.088; MSE: 0.044818
epoch:35; SSE:686.776; MSE: 0.0429235
epoch:36; SSE:697.801; MSE: 0.0436125
epoch:37; SSE:705.12; MSE: 0.04407
epoch:38; SSE:772.35; MSE: 0.0482719
epoch:39; SSE:726.348; MSE: 0.0453968
epoch:40; SSE:671.234; MSE: 0.0419521
epoch:41; SSE:704.884; MSE: 0.0440552
epoch:42; SSE:665.708; MSE: 0.0416068
epoch:43; SSE:650.524; MSE: 0.0406577
epoch:44; SSE:706.504; MSE: 0.0441565
epoch:45; SSE:614.225; MSE: 0.0383891
epoch:46; SSE:642.913; MSE: 0.040182
epoch:47; SSE:538.314; MSE: 0.0336446
epoch:48; SSE:592.053; MSE: 0.0370033
epoch:49; SSE:576.023; MSE: 0.0360015
