epoch:0; SSE:3977.85; MSE: 0.248615
epoch:1; SSE:2529.97; MSE: 0.158123
epoch:2; SSE:2007.63; MSE: 0.125477
epoch:3; SSE:1699.81; MSE: 0.106238
epoch:4; SSE:1498.04; MSE: 0.0936275
epoch:5; SSE:1350.31; MSE: 0.0843945
epoch:6; SSE:1228.06; MSE: 0.076754
epoch:7; SSE:1129.81; MSE: 0.0706131
epoch:8; SSE:1044.35; MSE: 0.0652721
epoch:9; SSE:977.333; MSE: 0.0610833
epoch:10; SSE:919.143; MSE: 0.0574464
epoch:11; SSE:860.823; MSE: 0.0538014
epoch:12; SSE:805.591; MSE: 0.0503494
epoch:13; SSE:762.764; MSE: 0.0476728
epoch:14; SSE:721.935; MSE: 0.0451209
epoch:15; SSE:688.776; MSE: 0.0430485
epoch:16; SSE:657.488; MSE: 0.041093
epoch:17; SSE:633.6; MSE: 0.0396
epoch:18; SSE:600.209; MSE: 0.0375131
epoch:19; SSE:570.919; MSE: 0.0356824
epoch:20; SSE:547.71; MSE: 0.0342319
epoch:21; SSE:540.623; MSE: 0.0337889
epoch:22; SSE:507.978; MSE: 0.0317486
epoch:23; SSE:482.173; MSE: 0.0301358
epoch:24; SSE:463.856; MSE: 0.028991
epoch:25; SSE:443.685; MSE: 0.0277303
epoch:26; SSE:425.344; MSE: 0.026584
epoch:27; SSE:405.69; MSE: 0.0253556
epoch:28; SSE:389.147; MSE: 0.0243217
epoch:29; SSE:374.353; MSE: 0.0233971
epoch:30; SSE:360.702; MSE: 0.0225439
epoch:31; SSE:347.724; MSE: 0.0217328
epoch:32; SSE:335.896; MSE: 0.0209935
epoch:33; SSE:324.511; MSE: 0.0202819
epoch:34; SSE:313.29; MSE: 0.0195806
epoch:35; SSE:300.908; MSE: 0.0188068
epoch:36; SSE:289.826; MSE: 0.0181142
epoch:37; SSE:281.627; MSE: 0.0176017
epoch:38; SSE:269.841; MSE: 0.016865
epoch:39; SSE:263.382; MSE: 0.0164614
epoch:40; SSE:249.054; MSE: 0.0155659
epoch:41; SSE:239.338; MSE: 0.0149586
epoch:42; SSE:229.292; MSE: 0.0143308
epoch:43; SSE:220.612; MSE: 0.0137883
epoch:44; SSE:212.308; MSE: 0.0132693
epoch:45; SSE:204.862; MSE: 0.0128039
epoch:46; SSE:197.394; MSE: 0.0123371
epoch:47; SSE:189.677; MSE: 0.0118548
epoch:48; SSE:182.665; MSE: 0.0114166
epoch:49; SSE:176.18; MSE: 0.0110113
